complex_name,smiles,fragment_screen,pb_valid,artefact
A71EV2A-x1128a,Oc1nnc(-c2ccccc2)o1,True,True,True
A71EV2A-x1140a,O=C(CN1CCCC1)c1ccccc1Cl,True,True,False
A71EV2A-x1140b,O=C(CN1CCCC1)c1ccccc1Cl,True,True,False
A71EV2A-x1145b,Fc1ccc(C[C@@H]2CCCNC2)cc1,True,True,False
A71EV2A-x1145a,Fc1ccc(C[C@H]2CCCNC2)cc1,True,True,True
A71EV2A-x1146a,Oc1cnc(-c2ccccc2)nc1,True,True,True
A71EV2A-x1148b,Brc1c[nH]cn1,True,True,True
A71EV2A-x1148a,Brc1c[nH]cn1,True,True,False
A71EV2A-x1180a,Clc1c[nH]cn1,True,True,False
A71EV2A-x1180b,Clc1c[nH]cn1,True,True,False
A71EV2A-x1209a,Brc1ncc[nH]1,True,True,False
A71EV2A-x1255a,COCCn1ccc(Br)cc1=O,True,True,False
A71EV2A-x1292a,O=C(NC1CC1)c1ccccc1O,True,True,False
A71EV2A-x1293a,Nc1nnc2ccccn12,True,True,False
A71EV2A-x1346a,Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1,False,True,False
A71EV2A-x1445a,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,False,True,False
A71EV2A-x1445b,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,False,True,False
A71EV2A-x1776a,CC(=O)Nc1ccc(C(=O)[C@H](C)S)cc1,False,False,False
A71EV2A-x1778a,CC(=O)N1CCc2cc(C(=O)[C@H](C)S)ccc21,False,False,False
A71EV2A-x2290a,CNC(=O)c1nn(C)c2ccccc12,False,True,False
A71EV2A-x2293a,Cn1nc(C(=O)NC[C@@H]2Cc3ccccc3CN2)c2ccccc21,False,True,False
A71EV2A-x2304a,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,False,True,False
A71EV2A-x2339a,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,False,True,False
A71EV2A-x2351a,Cn1nc(C(N)=O)c2cc(F)ccc21,False,True,False
A71EV2A-x2448a,CN(C)S(=O)(=O)c1cccnc1,True,True,False
A71EV2A-x2448b,CN(C)S(=O)(=O)c1cccnc1,True,True,False
A71EV2A-x2454a,CC(=O)Nc1cccc(NC(N)=O)c1,True,True,False
A71EV2A-x2458a,CNS(=O)(=O)c1ccccc1Cl,True,True,False
A71EV2A-x2513a,COc1ccc(Cl)c2c1C(=O)C(=O)N2,False,True,False
A71EV2A-x2629a,COc1ccccc1NC(=O)Nc1cccnc1,False,True,False
A71EV2A-x2846a,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,False,True,False
A71EV2A-x2972a,Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21,False,True,False
A71EV2A-x3054a,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3066a,CNC(=O)c1cn(C)c2ccccc12,True,True,False
A71EV2A-x3175a,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,False,True,False
A71EV2A-x3176a,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,False,True,False
A71EV2A-x3177a,Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21,False,True,False
A71EV2A-x3178a,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21,False,True,False
A71EV2A-x3181a,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,False,True,False
A71EV2A-x3181b,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,False,True,False
A71EV2A-x3186a,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3188a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,False,True,False
A71EV2A-x3189a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,False,True,False
A71EV2A-x3191a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,False,True,False
A71EV2A-x3193a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1,False,True,False
A71EV2A-x3194a,Cc1cc(CC(=O)N2CCC[C@H](C(N)=O)C2)ccn1,False,True,False
A71EV2A-x3201a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3207a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(N)c2)C1,False,True,False
A71EV2A-x3208a,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,False,True,False
A71EV2A-x3210a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1,False,True,False
A71EV2A-x3218a,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCNc3[nH]ncc32)C1,False,True,False
A71EV2A-x3221a,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1,False,True,False
A71EV2A-x3222a,NC(=O)[C@H]1CCCN(C(=O)c2[nH]ncc2Br)C1,False,True,False
A71EV2A-x3223a,NC(=O)[C@H]1CCCN(C(=O)c2ccnc3[nH]ncc23)C1,False,True,False
A71EV2A-x3225a,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3229a,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3234a,Cc1cc(C)c(Nc2ccn(C3COC3)n2)c(C)c1,False,True,False
A71EV2A-x3264a,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,False,True,False
A71EV2A-x3279a,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,False,True,False
A71EV2A-x3280a,Cn1nc(C(=O)NCC(F)(F)c2ccccn2)c2ccccc21,False,True,False
A71EV2A-x3286a,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,False,True,False
A71EV2A-x3305a,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1,False,True,False
A71EV2A-x3306a,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,False,True,False
A71EV2A-x3324a,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,False,True,False
A71EV2A-x3579a,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,False,True,False
A71EV2A-x3581a,COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3585a,Cc1cc(NC(=O)N2CCC[C@H](C(N)=O)C2)c2cnn(C)c2c1,False,True,False
A71EV2A-x3371a,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,False,True,False
A71EV2A-x3379a,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,False,True,False
A71EV2A-x3392a,O=C(NCCc1cocn1)N1CCc2ccccc21,False,True,False
A71EV2A-x3403a,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,False,True,False
A71EV2A-x3408a,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3410a,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,False,True,False
A71EV2A-x3417a,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1,False,True,False
A71EV2A-x3419a,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,False,True,False
A71EV2A-x3435a,O=C(NCCc1cocn1)c1ccccc1,False,True,False
A71EV2A-x3436a,Cn1ncc(C(=O)NCCc2cocn2)n1,False,True,False
A71EV2A-x3450a,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3480a,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3483a,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3485a,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3488a,COCC(=O)Nc1c(Cl)cc(C)cc1Oc1cccc(C(N)=O)c1,False,True,False
A71EV2A-x3489a,Cc1nc2n(c1CC(=O)N1CCC[C@H](C(N)=O)C1)CCCC2,False,True,False
A71EV2A-x3509a,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3509b,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3510a,Cc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3593a,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,False,True,False
A71EV2A-x3606a,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3612a,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2F)C1,False,True,False
A71EV2A-x3616a,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3616b,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3618a,CCNC(=O)c1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3618b,CCNC(=O)c1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3621a,COc1ccccc1CC(=O)N1CC[C@@H](O)C1,False,True,False
A71EV2A-x3623a,Cc1cnc(CNS(=O)(=O)C[C@@H](C)c2ccccc2)o1,False,True,False
A71EV2A-x3634a,COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C)C1,False,True,False
A71EV2A-x3663a,COc1ccccc1CC(=O)N1CCO[C@@H](C(N)=O)C1,False,True,False
A71EV2A-x3665a,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC(F)(F)C1,False,True,False
A71EV2A-x3685a,COc1ccccc1CC(=O)N1CC[C@@H](NC(N)=O)C1,False,True,False
A71EV2A-x3694a,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,False,True,False
A71EV2A-x3694b,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,False,True,False
A71EV2A-x3706a,Cc1cccc(CNC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3706b,Cc1cccc(CNC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3521a,N#C[C@H]1C[C@@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,False,True,False
A71EV2A-x3521b,N#C[C@H]1C[C@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,False,True,True
A71EV2A-x3522a,COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,False,True,False
A71EV2A-x3522b,COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,False,True,False
A71EV2A-x3546a,COc1ccc(F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3548a,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3550b,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC[C@@H]1C,False,True,True
A71EV2A-x3550a,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC[C@@H]1C,False,True,False
A71EV2A-x3556a,Cn1cc2c(CC(=O)N3CC[C@H](C(N)=O)C3)cccc2n1,False,True,False
A71EV2A-x3557a,COc1ccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c(OC)c1,False,True,False
A71EV2A-x3557b,COc1ccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c(OC)c1,False,True,False
A71EV2A-x3564a,Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1,False,True,False
A71EV2A-x3568a,Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1,False,True,False
A71EV2A-x3571a,COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3571b,COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3575a,COc1c(C#N)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3849a,COc1ncccc1CC(=O)N1CCC[C@@H](C(N)=O)C1,False,True,False
A71EV2A-x3858a,COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1,False,True,False
A71EV2A-x3858b,COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1,False,True,False
A71EV2A-x3862a,COc1ccccc1[C@@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3867a,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,False,True,False
A71EV2A-x3868a,COc1ccccc1N(C)C(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3869a,COc1ncccc1CC(=O)N1CCC[C@@H](C(N)=O)C1,False,True,False
A71EV2A-x3883a,COc1ccccc1[C@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3884a,COc1ccccc1[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3884b,COc1ccccc1[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3890a,COc1ccccc1[C@H](N)C(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3895a,COc1ccccc1CN1C[C@@H](C(N)=O)CC1=O,False,True,False
A71EV2A-x3897a,COc1ccncc1CC(=O)N1CCC[C@@H](C(N)=O)C1,False,True,False
A71EV2A-x3901a,COc1ccccc1CC(=O)N1CCN[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3908a,Cc1cccc(N(CC(=O)N2CCCCC2)C(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3914a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,False,True,False
A71EV2A-x3920a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3936a,COC[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1,False,True,False
A71EV2A-x3937a,CO[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccnc1,False,True,False
A71EV2A-x3938a,C[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1,False,True,False
A71EV2A-x3939a,CO[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccccc1C,False,True,False
A71EV2A-x3940a,COc1ccc(Cl)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3942a,COc1cccc(Cl)c1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3944a,CCN(CC1CC1)C(=O)c1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x3954a,COc1ccc2c(n1)[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)CC2,False,True,False
A71EV2A-x3956a,COc1ccccc1CCN1C[C@@H](C(N)=O)CC1=O,False,True,False
A71EV2A-x3963a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,False,True,False
A71EV2A-x3963b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,False,True,False
A71EV2A-x3968a,NC(=O)[C@H]1CCCN(C(=O)[C@H](OCC2CCCC2)c2ccccc2)C1,False,True,False
A71EV2A-x3975a,NC(=O)[C@H]1CCCN(C(=O)[C@@H](CN2CCCC2)c2ccccc2)C1,False,True,False
A71EV2A-x3977a,COc1ccccc1CC(=O)N(C)CCC(N)=O,False,True,False
A71EV2A-x3977b,COc1ccccc1CC(=O)N(C)CCC(N)=O,False,True,True
A71EV2A-x3981a,NC(=O)[C@H]1CCCN(C(=O)[C@@H](CCc2ccccc2)c2ccccc2)C1,False,True,False
A71EV2A-x3982a,NC(=O)[C@H]1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1,False,True,False
A71EV2A-x3986a,NC(=O)[C@H]1CCCN(C(=O)[C@@H](Sc2ccccc2)c2ccccc2)C1,False,True,False
A71EV2A-x3986b,NC(=O)[C@H]1CCCN(C(=O)[C@@H](Sc2ccccc2)c2ccccc2)C1,False,True,False
A71EV2A-x3989a,NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,False,True,False
A71EV2A-x3990a,COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C(F)(F)F)C1,False,True,False
A71EV2A-x3992a,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3992b,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x3993a,COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)C[C@H](C(=O)NC2CC2)C1,False,True,False
A71EV2A-x3993b,COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)C[C@H](C(=O)NC2CC2)C1,False,True,False
A71EV2A-x4012a,COc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4012b,COc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4017a,Cn1ncc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21,False,True,False
A71EV2A-x4017b,Cn1ncc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21,False,True,False
A71EV2A-x4018a,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1,False,True,False
A71EV2A-x4018b,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1,False,True,False
A71EV2A-x4020a,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x4020b,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,False,True,False
A71EV2A-x4028a,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4029a,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,False,True,False
A71EV2A-x4031a,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4031b,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4032a,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,False,True,False
A71EV2A-x4032b,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,False,True,False
A71EV2A-x4035a,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4035b,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4202a,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1,False,True,False
A71EV2A-x4202b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1,False,True,False
A71EV2A-x4290a,CSc1c(Br)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4291a,Cc1cc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)c(=O)[nH]1,False,True,False
A71EV2A-x4292a,NC(=O)[C@H]1CCCN(C(=O)Cc2cnccc2C(F)(F)F)C1,False,True,False
A71EV2A-x4295a,COc1ccccc1[C@@H](O)CN1C[C@@H](C(N)=O)CC1=O,False,True,False
A71EV2A-x4298a,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)n1,False,True,False
A71EV2A-x4303a,COc1ccc(S(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4303b,COc1ccc(S(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
A71EV2A-x4304a,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,False,True,False
