fragalysis_code,smiles,experimental_pKD
A71EV2A-x3862a,COc1ccccc1[C@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.523700643055132
A71EV2A-x3867a,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,4.804100347590766
A71EV2A-x3869a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |o1:15|,4.939681121858298
A71EV2A-x3883a,COc1ccccc1[C@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.523700643055132
A71EV2A-x3884a,COc1ccccc1[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,4.930769702637148
A71EV2A-x3884b,COc1ccccc1[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,4.930769702637148
A71EV2A-x3890a,COc1ccccc1[C@H](N)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.349983835684398
A71EV2A-x3895a,COc1ccccc1CN1C[C@H](C(N)=O)CC1=O |&1:11|,4.62709189585908
A71EV2A-x3901a,COc1ccccc1CC(=O)N1CCN[C@H](C(N)=O)C1 |&1:15|,5.622664040174432
A71EV2A-x3908a,Cc1cccc(N(CC(=O)N2CCCCC2)C(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:22|,4.627087997029894
A71EV2A-x3914a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1 |o1:12|,4.405607449624573
A71EV2A-x3936a,"COC[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1 |&1:3,&2:10|",6.0
A71EV2A-x3937a,"CO[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccnc1 |&1:2,&2:9|",4.227015096629662
A71EV2A-x3939a,CO[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccccc1C |&1:2|,4.928117992693875
A71EV2A-x3940a,COc1ccc(Cl)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.727236212379233
A71EV2A-x3942a,COc1cccc(Cl)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.78560502978966
A71EV2A-x3944a,CCN(CC1CC1)C(=O)c1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:21|,4.908336601699183
A71EV2A-x3954a,COc1ccc2c(n1)[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)CC2 |&1:8|,4.452380443994761
A71EV2A-x3956a,COc1ccccc1CCN1C[C@H](C(N)=O)CC1=O |&1:12|,5.044970753420985
A71EV2A-x3968a,NC(=O)[C@H]1CCCN(C(=O)[C@H](OCC2CCCC2)c2ccccc2)C1 |&1:10|,5.5670035086585905
A71EV2A-x3975a,NC(=O)[C@H]1CCCN(C(=O)[C@H](CN2CCCC2)c2ccccc2)C1 |&1:10|,5.024630533433036
A71EV2A-x3977a,COc1ccccc1CC(=O)N(C)CCC(N)=O,4.935542010773082
A71EV2A-x3977b,COc1ccccc1CC(=O)N(C)CCC(N)=O,4.935542010773082
A71EV2A-x3982a,NC(=O)[C@H]1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1 |a:3|,5.179858685151659
A71EV2A-x3986a,NC(=O)[C@H]1CCCN(C(=O)[C@H](Sc2ccccc2)c2ccccc2)C1 |&1:10|,5.135488918941608
A71EV2A-x3986b,NC(=O)[C@H]1CCCN(C(=O)[C@H](Sc2ccccc2)c2ccccc2)C1 |&1:10|,5.135488918941608
A71EV2A-x3989a,NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1 |&1:3|,5.04901488179868
A71EV2A-x3990a,"COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C(F)(F)F)C1 |&1:13,17|",5.110698297493689
A71EV2A-x3992a,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1 |a:15|,4.612119831707907
A71EV2A-x3992b,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1 |a:15|,4.612119831707907
A71EV2A-x3993a,"COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)C[C@H](C(=O)NC2CC2)C1 |o1:14,19|",4.899323290233971
A71EV2A-x3993b,"COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)C[C@H](C(=O)NC2CC2)C1 |o1:14,19|",4.899323290233971
A71EV2A-x4018a,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1 |&1:15|,4.952188702489189
A71EV2A-x4018b,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1 |&1:15|,4.952188702489189
A71EV2A-x4020a,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1 |&1:13|,4.290127690297292
A71EV2A-x4020b,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1 |&1:13|,4.290127690297292
A71EV2A-x4028a,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:19|,4.449959375475284
A71EV2A-x4029a,COc1ccccc1CN1C[C@H](C(N)=O)CCC1=O |&1:11|,4.956855685489159
A71EV2A-x4031a,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.487273331768478
A71EV2A-x4031b,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.487273331768478
A71EV2A-x4032a,COc1ccccc1CC(=O)N1CC[C@H](CC(N)=O)C1 |&1:14|,5.055150304924533
A71EV2A-x4032b,COc1ccccc1CC(=O)N1CC[C@H](CC(N)=O)C1 |&1:14|,5.055150304924533
A71EV2A-x4035a,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.465918205168407
A71EV2A-x4035b,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.465918205168407
A71EV2A-x4202a,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1 |&1:10|,4.479401524821051
A71EV2A-x4202b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1 |&1:10|,4.479401524821051
A71EV2A-x4290a,CSc1c(Br)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.472492797097293
A71EV2A-x4291a,Cc1cc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)c(=O)[nH]1 |a:13|,4.306273051076353
A71EV2A-x4295a,"COc1ccccc1[C@H](O)CN1C[C@H](C(N)=O)CC1=O |&1:8,&2:13|",5.276902343492681
A71EV2A-x4298a,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)n1 |a:14|,5.072431269429168
A71EV2A-x4305a,CC(C)Oc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:17|,4.877787213913532
A71EV2A-x4306a,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2OCC(F)(F)F)C1 |a:3|,5.15661038833037
A71EV2A-x4308a,NC(=O)[C@H]1CCCN(C(=O)Nc2cc3c(cc2Cl)OCO3)C1 |a:3|,4.6271423700874985
A71EV2A-x4309a,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:19|,4.09366495819491
A71EV2A-x4309b,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:19|,4.09366495819491
A71EV2A-x4310a,COc1c(NC(=O)N2CCC[C@H](C(N)=O)C2)cccc1C(F)(F)F |a:11|,5.032452023781138
A71EV2A-x4310b,COc1c(NC(=O)N2CCC[C@H](C(N)=O)C2)cccc1C(F)(F)F |a:11|,5.032452023781138
A71EV2A-x4311a,CC(C)(C)c1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:17|,4.916961547867879
A71EV2A-x4312a,NC(=O)[C@H]1CC(=O)N(Cc2cccc3c2OCC3)C1 |&1:3|,5.0762380391713
A71EV2A-x4313a,"COc1ccccc1[C@H](C)CN1C[C@H](C(N)=O)CC1=O |&1:8,&2:13|",4.917407524166997
A71EV2A-x4316a,"COc1cccc2c1CC[C@H]2N1C[C@H](C(N)=O)CCC1=O |&1:10,&2:13|",4.789637072991269
A71EV2A-x4319a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2OC(F)F)C1 |a:3|,4.2296663664747784
A71EV2A-x4320a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccc3c(c2)CCC(=O)N3)C1 |a:3|,4.349692476868063
A71EV2A-x4321a,N#CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5.101757238648579
A71EV2A-x4321b,N#CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5.101757238648579
A71EV2A-x4322a,CC(=O)Nc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:17|,4.265200170411153
A71EV2A-x4334a,CSc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,4.1650303504723505
A71EV2A-x4334b,CSc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,4.1650303504723505
A71EV2A-x4336a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc(Cl)c2Cl)C1 |a:3|,4.065026720650614
A71EV2A-x4341a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3sccc23)C1 |a:3|,3.9387751065420744
A71EV2A-x4344a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2CCC3)C1 |a:3|,3.9502403164313624
A71EV2A-x4347a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.286509456906058
A71EV2A-x4351a,NC(=O)C[C@H]1CCCN(c2ncnc3ccccc23)C1 |&1:4|,4.959254335737151
A71EV2A-x4368a,COCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.576757218249551
A71EV2A-x4372a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2O)C1 |a:3|,5.153756287657022
A71EV2A-x4374a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2CO)C1 |a:3|,4.345773777137761
A71EV2A-x4374b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2CO)C1 |a:3|,4.345773777137761
A71EV2A-x4381a,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2C(F)(F)F)C1 |a:3|,3.806800765395556
A71EV2A-x4203a,COc1cc(Cl)ccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.018634490921456
A71EV2A-x4207a,COc1ccccc1[C@H](NC(C)=O)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.238439218136987
A71EV2A-x4207b,COc1ccccc1[C@H](NC(C)=O)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.238439218136987
A71EV2A-x4209a,COc1cccc(Cl)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |o1:16|,4.37828501116997
A71EV2A-x4214a,COc1ccccc1S(=O)(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,5.161780778092374
A71EV2A-x4214b,COc1ccccc1S(=O)(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,5.161780778092374
A71EV2A-x4237a,NC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2ccc(F)cc2)c2ccccc2)C1 |&1:10|,5.478592246479633
A71EV2A-x4237b,NC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2ccc(F)cc2)c2ccccc2)C1 |&1:10|,5.478592246479633
A71EV2A-x4237c,NC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2ccc(F)cc2)c2ccccc2)C1 |&1:10|,5.478592246479633
A71EV2A-x4237d,NC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2ccc(F)cc2)c2ccccc2)C1 |&1:10|,5.478592246479633
A71EV2A-x4239a,"COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)[C@H]2CCC[C@H]21 |&1:14,&2:18,22|",4.819608655063361
A71EV2A-x4260a,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCOc3ccc(Cl)cc32)C1 |&1:10|,5.28547334915742
A71EV2A-x4274a,COc1cccnc1CN1CCC[C@H](C(N)=O)C1 |a:13|,5.576653344896242
A71EV2A-x4274b,COc1cccnc1CN1CCC[C@H](C(N)=O)C1 |a:13|,5.576653344896242
A71EV2A-x4283a,COc1cccnc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.648165195719463
A71EV2A-x4283b,COc1cccnc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.648165195719463
A71EV2A-x4386a,CSc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,5.393063563669464
A71EV2A-x4388a,COc1ncc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.832067775571805
A71EV2A-x4402a,Cc1cccc(N2CCCN(CCC(N)=O)C2=O)c1,4.9115465169214945
A71EV2A-x4403a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2CS(N)(=O)=O)C1 |a:3|,4.135380979941972
A71EV2A-x4406a,"COc1ccccc1[C@H](O)CN1C[C@H](C(N)=O)CCC1=O |&1:8,&2:13|",5.212129340035951
A71EV2A-x4409a,"NC(=O)[C@H]1CCC(=O)N(C[C@H]2CCOc3ccccc32)C1 |&1:3,&2:10|",4.620443689892642
A71EV2A-x4416a,"NC(=O)[C@H]1CCCN(C(=O)[C@]2(Cc3ccc(F)cc3)CCCCO2)C1 |&1:3,&2:10|",4.609064892896621
A71EV2A-x4418a,COc1ncccc1NC(=O)N1CC[C@H](C(N)=O)C1 |a:14|,4.618016608302379
A71EV2A-x4426a,C#C[C@H](NCCc1cocn1)c1nn(C)c2ccccc12 |&1:2|,4.716801953096995
A71EV2A-x4429a,COc1ccc(C(F)(F)F)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:19|,4.069229199277436
A71EV2A-x4431a,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,6.504803930407411
A71EV2A-x4445a,COc1ccccc1[C@H](C)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.415903931859735
A71EV2A-x4445b,COc1ccccc1[C@H](C)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.415903931859735
A71EV2A-x4447a,Cn1cnc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21 |a:13|,5.398637148380375
A71EV2A-x4447b,Cn1cnc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21 |a:13|,5.398637148380375
A71EV2A-x4449a,COc1ccccc1[C@H](NC(C)=O)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.238439218136987
A71EV2A-x4449b,COc1ccccc1[C@H](NC(C)=O)C(=O)N1CCC[C@H](C(N)=O)C1 |o1:8|,5.238439218136987
A71EV2A-x4451a,NC(=O)[C@H]1CCCN(C(=O)[C@H](c2ccccc2)n2cccn2)C1 |&1:10|,4.869666231504994
A71EV2A-x4451b,NC(=O)[C@H]1CCCN(C(=O)[C@H](c2ccccc2)n2cccn2)C1 |&1:10|,4.869666231504994
A71EV2A-x4456a,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(O)c32)C1 |&1:10|,5.148337017678052
A71EV2A-x4456b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(O)c32)C1 |&1:10|,5.148337017678052
A71EV2A-x4461a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccncc2Cl)C1 |a:3|,5.18523404082538
A71EV2A-x4463a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3nsnc23)C1 |a:3|,4.492392502728005
A71EV2A-x4464a,Cc1ncnc(C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,3.654064344980796
A71EV2A-x4472a,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3snnc32)C1 |&1:10|,4.667561540084395
A71EV2A-x4476a,"COc1ccccc1CC(=O)N1C[C@]2(C(N)=O)CC[C@H]1C2 |a:13,19|",4.6216971581255635
A71EV2A-x4510a,C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cn(C)nc1C(F)(F)F |&1:1|,4.462842099070634
